Time,Temperature,Relative Humidity
2019-11-18 18:58:18.973499,23.651483939879455,41.7074920257009
2019-11-18 18:58:29.083872,23.651483939879455,42.267600689834104
2019-11-18 18:58:39.193669,23.678187228198667,42.11040398028174
2019-11-18 18:58:49.302847,23.678187228198667,41.780748744715595
2019-11-18 18:58:59.411099,23.750286106660567,42.23097233032676
2019-11-18 18:59:09.518839,23.90516517891203,46.1364711627978
2019-11-18 18:59:19.626042,23.91851682307164,47.52682264243091
2019-11-18 18:59:29.732564,24.060044251163504,50.34720632449674
2019-11-18 18:59:39.834554,24.00396734569314,43.113105321795395
2019-11-18 18:59:49.939568,23.96124208438239,41.56250476931764
